Note,Value
Begin Recording - 15:28:10,
Window 1,
,522
,518
,515
,512
,508
,506
,503
,500
,496
,494
,491
,488
,485
,483
,479
,478
,490
,520
,520
,517
,514
,511
,508
,504
,502
,499
,496
,493
,490
,487
,484
,482
,479
,477
,508
,525
,521
,518
,515
,511
,508
,506
,502
,499
,496
,494
,490
,488
,485
,482
,480
,476
,502
,526
,521
,518
,515
,511
,509
,505
,502
,499
,496
,494
,490
,488
,485
,482
,480
,476
,507
,525
,522
,518
,515
,511
,509
,505
,503
,499
,497
,494
,491
,488
,486
,483
,480
,477
,501
,525
,521
,517
,515
,512
,509
,505
,502
,500
,496
,494
,491
,488
,485
,483
,480
,477
,503
,525
,521
,517
,514
,511
,508
,505
,502
,499
,496
,493
,491
,487
,485
,482
,479
,479
,512
,524
,521
,518
,514
,511
,508
,505
,502
,499
,496
,493
,491
,488
,484
,482
,479
,480
,514
,525
,521
,518
,515
,512
,508
,505
,502
,499
,496
,494
,490
,488
,484
,482
,479
,478
,510
,524
,521
,517
,514
,511
,508
,505
,501
,499
,496
,493
,490
,487
,484
,482
Window 2,
,473
,470
,467
,465
,462
,459
,488
,506
,503
,499
,497
,493
,490
,487
,483
,481
,478
,475
,472
,470
,467
,464
,462
,463
,500
,506
,503
,499
,496
,493
,490
,487
,484
,481
,477
,475
,472
,469
,466
,464
,461
,459
,492
,505
,501
,498
,495
,492
,489
,486
,482
,480
,477
,474
,471
,469
,465
,463
,460
,469
,506
,507
,503
,500
,496
,493
,490
,487
,483
,481
,478
,474
,472
,469
,467
,463
,462
,468
,506
,506
,503
,500
,497
,494
,490
,487
,484
,481
,478
,475
,473
,470
,467
,464
,461
,460
,495
,506
,502
,498
,496
,493
,489
,486
,483
,480
,477
,475
,472
,468
,465
,463
,460
,471
,507
,506
,502
,499
,496
,493
,490
,487
,483
,481
,478
,475
,472
,469
,466
,463
,461
,464
,501
,505
,502
,499
,495
,492
,489
,486
,483
,480
,478
,475
,471
,469
,466
,464
,461
,465
,501
,504
,501
,497
,495
,492
,488
,485
,482
,480
,476
,474
,471
,468
,465
,462
,460
,475
,507
,504
,501
,498
,495
,492
,488
,486
,482
,479
,477
,473
,471
,468
,466
,463
,459
,470
,505
,505
,501
,498
,494
,491
,488
,485
,482
,480
,477
,473
,471
,467
,465
,462
,460
,472
,505
,503
,500
,496
,494
,491
,488
,485
,481
,479
,476
,473
,470
,467
,465
,462
,459
,479
,507
,503
,500
,497
,493
,491
,488
,484
,482
,479
,475
,473
,470
,467
,464
,462
,459
,476
,507
,503
,501
,497
,494
,491
,488
,485
,482
,479
,476
,473
,470
,467
,465
,462
,459
,466
,501
,503
,499
,496
,492
,489
,487
,483
,481
,478
,475
,471
,469
,466
,463
,460
,458
,480
,506
,502
,499
,496
,493
,490
,487
,483
,481
,477
,475
,472
,470
,467
,464
,461
,458
,466
,502
,501
,498
,495
,491
,488
,486
,482
,480
,477
,474
,472
,468
,466
,463
,460
,458
,478
,504
,500
,497
,495
,491
,488
,485
,482
,479
,476
,473
,471
,467
,465
,462
,460
,457
,483
,505
,501
,497
,494
,491
,488
,485
,482
,479
,477
,473
,471
,468
,465
,463
,460
,457
,471
,502
,499
,495
,492
,490
,486
,484
,481
,478
,475
,472
,470
,466
,464
,462
,458
,456
,490
,502
,499
,496
,493
,489
,487
,483
,481
,478
,475
,472
,470
,467
,464
,461
,459
,456
,481
,502
,499
,496
,493
,489
,487
,484
,480
,478
,475
,472
,469
,466
,464
,461
,459
,456
,484
,502
,498
,495
,492
,489
,486
,483
,481
,478
,475
,472
,469
,467
,464
,461
,458
,455
,485
,502
,499
,495
,492
,489
,486
,483
,480
,477
,474
,471
,469
,466
,463
,461
,458
,456
,490
,502
,499
,495
,492
,489
,486
,483
,480
,477
,474
,472
,468
,466
,464
,460
,458
,455
,490
,502
,498
,495
,492
,489
,486
,482
,479
,476
,474
,470
,468
,465
,463
,460
,457
,460
,498
,502
,498
,495
,492
,489
,486
,483
,480
,477
,474
,471
,468
,466
,463
,460
,458
,455
,483
,500
,497
,493
,491
,487
,484
,482
,479
Window 3,
,517
,514
,510
,508
,504
,502
,499
,495
,493
,490
,486
,484
,512
,534
,530
,527
,523
,520
,516
,513
,510
,506
,504
,501
,498
,494
,492
,488
,486
,483
,523
,534
,530
,527
,523
,520
,517
,513
,510
,507
,503
,501
,498
,494
,491
,489
,485
,483
,515
,533
,529
,526
,523
,519
,516
,512
,509
,506
,502
,500
,496
,494
,491
,488
,485
,482
,521
,533
,529
,525
,522
,519
,515
,512
,509
,506
,503
,500
,497
,493
,490
,488
,485
,482
,514
,531
,528
,525
,521
,518
,514
,511
,508
,505
,502
,498
,496
,493
,489
,487
,484
,485
,526
,531
,528
,524
,521
,517
,514
,511
,508
,505
,502
,498
,495
,492
,489
,487
,483
,487
,529
,532
,528
,524
,521
,518
,515
,511
,508
,505
,502
,500
,496
,494
,491
,488
,485
,481
,519
,534
,531
,527
,524
,520
,517
,514
,511
,508
,505
,502
,498
,496
,492
,490
,487
,484
,481
,517
,528
,525
,521
,518
,514
,511
,508
,505
,502
,499
,496
,492
,489
,487
,504
,546
,544
,540
,536
,532
,529
,526
,522
,519
,516
,513
,509
,506
,504
,500
,497
,494
,491
,516
,546
,542
,539
,534
,531
,528
,524
,521
,518
,514
,511
,508
,504
,502
,499
,496
,520
,546
,542
,538
,534
,531
,528
,524
,521
,518
,514
,512
,508
,505
,502
,499
,496
,494
,498
,540
,541
,538
,534
,530
,527
,524
,520
,517
,514
,511
,508
,505
,502
,498
,496
,492
,529
,558
,553
,549
,545
,542
,538
,535
,531
,527
,524
,521
,517
,515
,511
,508
,505
,502
,499
,496
,505
,549
,546
,543
,539
,535
,532
,529
,525
,522
,518
,515
,512
,509
,506
,503
,500
,497
,494
,492
,507
,523
,519
,515
,512
,509
,506
,503
,499
,497
,494
,491
,488
,490
,537
,541
,538
,534
,531
,527
,524
,521
,517
,514
,511
,507
,504
,501
,498
,495
,492
,489
,487
,484
,481
,497
,519
,515
,511
,509
,506
,502
,500
,497
,493
,491
,488
,485
,482
,483
,531
,536
,532
,528
,526
,522
,519
,515
,512
,509
,506
,503
,500
,497
,494
,491
,489
,486
,483
,479
,491
,520
,516
,513
,509
,507
,504
,500
,497
,494
,491
,488
,486
,482
,480
,478
,495
,528
,524
,520
,517
,514
,510
,507
,504
,502
,498
,495
,493
,489
,486
,483
,481
,478
,475
,472
,484
,512
,508
,505
,502
,498
,496
,493
,489
,486
,484
,480
,478
,475
,473
,470
,476
,515
,514
,511
,507
,504
,501
,498
,495
,492
,489
,487
,484
,481
,478
,476
,472
,470
,468
,470
,505
,506
,502
,499
,496
,494
,490
,487
,484
,481
,479
,476
,473
,471
,468
,465
,488
,515
,512
,508
,506
,502
,499
,496
,493
,490
,487
,484
,482
,479
,476
,474
,470
,468
,466
,476
,509
,506
,503
,499
,496
,492
,490
,487
,484
,481
,478
,475
,472
,469
,467
,465
,463
,503
,508
,504
,501
,498
,495
,492
,489
,486
,483
,480
,477
,474
,472
,469
,466
,463
,461
,470
,505
,503
Window 4,
,546
,545
,543
,543
,541
,540
,539
,539
,539
,538
,538
,539
,539
,539
,539
,540
,539
,539
,538
,537
,536
,535
,534
,533
,532
,532
,532
,531
,532
,532
,532
,532
,533
,533
,532
,532
,531
,529
,528
,528
,526
,525
,525
,524
,524
,524
,525
,525
,525
,525
,526
,525
,525
,524
,524
,523
,522
,521
,520
,519
,518
,518
,518
,517
,517
,517
,518
,518
,518
,518
,518
,517
,517
,515
,514
,513
,512
,511
,510
,510
,510
,510
,510
,510
,511
,511
,511
,512
,511
,510
,510
,509
,508
,507
,506
,504
,504
,504
,503
,504
,504
,504
,504
,504
,505
,505
,504
,504
,504
,503
,501
,500
,498
,498
,498
,498
,497
,497
,497
,497
,498
,498
,499
,498
,497
,497
,496
,496
,495
,494
,492
,492
,492
,492
,491
,491
,492
,492
,493
,493
,493
,493
,493
,493
,492
,491
,489
,489
,487
,487
,487
,485
,485
,486
,486
,486
,487
,487
,487
,488
,487
,487
,486
,484
,483
,483
,482
,480
,480
,480
,480
,480
,480
,481
,480
,481
,482
,481
,482
,481
,480
,480
,478
,477
,477
,476
,475
,474
,475
,475
,475
,475
,475
,475
,476
,476
,476
,476
,475
,473
,472
,471
,470
,469
,469
,468
,469
,469
,469
,469
,469
,470
,470
,470
,470
