Timestamp,Mode,Data
18:17:09.8620,RX,"17"
18:17:09.8630,RX,"6 "
18:17:09.9000,RX,"179 "
18:17:09.9770,RX,"180 "
18:17:10.0130,RX,"175 "
18:17:10.0510,RX,"1"
18:17:10.0880,RX,"77 "
18:17:10.1270,RX,"182 "
18:17:10.2000,RX,"180 "
18:17:10.2380,RX,"189 "
18:17:10.3130,RX,"183 "
18:17:10.3500,RX,"183"
18:17:10.3880,RX," "
18:17:10.4270,RX,"180 "
18:17:10.4630,RX,"185 "
18:17:10.5380,RX,"187 "
18:17:10.5770,RX,"8 "
18:17:10.5770,RX,"18"
18:17:10.6130,RX,"192 "
18:17:10.6880,RX,"192 "
18:17:10.7630,RX,"191 "
18:17:10.8000,RX,"185 "
18:17:10.8380,RX,"183 "
18:17:10.9130,RX,"188 "
18:17:10.9880,RX,"199 "
18:17:11.0270,RX,"208 "
18:17:11.0630,RX,"219"
18:17:11.1000,RX," "
18:17:11.1380,RX,"222 "
18:17:11.2130,RX,"223 "
18:17:11.2500,RX,"223 "
18:17:11.2880,RX,"22"
18:17:11.3270,RX,"3 "
18:17:11.3630,RX,"225 "
18:17:11.4000,RX,"223 "
18:17:11.4770,RX,"213 "
18:17:11.5510,RX,"217 "
18:17:11.5880,RX,"213 "
18:17:11.6270,RX,"210 "
18:17:11.7000,RX,"205 "
18:17:11.7770,RX,"207 "
18:17:11.8130,RX,"210"
18:17:11.8130,RX," "
18:17:11.8500,RX,"215 "
18:17:11.9270,RX,"213 "
18:17:11.9630,RX,"208 "
18:17:12.0380,RX,"2"
18:17:12.0380,RX,"05 "
18:17:12.0770,RX,"201 "
18:17:12.1500,RX,"203 "
18:17:12.1880,RX,"199 "
18:17:12.2630,RX,"194 "
18:17:12.3000,RX,"190 "
18:17:12.3770,RX,"189 "
18:17:12.4130,RX,"192 "
18:17:12.4890,RX,"190 "
18:17:12.5270,RX,"19"
18:17:12.5640,RX,"0 "
18:17:12.6010,RX,"191 "
18:17:12.6380,RX,"190 "
18:17:12.7130,RX,"183 "
18:17:12.7500,RX,"1"
18:17:12.7510,RX,"76 "
18:17:12.8270,RX,"178 "
18:17:12.8630,RX,"185 "
18:17:12.9380,RX,"183 "
18:17:12.9770,RX,"181 "
18:17:13.0130,RX,"171 "
18:17:13.0880,RX,"173 "
18:17:13.1630,RX,"179 "
18:17:13.2000,RX,"179 "
18:17:13.2380,RX,"18"
18:17:13.2770,RX,"0 "
18:17:13.3130,RX,"177 "
18:17:13.3880,RX,"170 "
18:17:13.4270,RX,"173 "
18:17:13.4630,RX,"1"
18:17:13.5000,RX,"78 "
18:17:13.5380,RX,"172 "
18:17:13.5770,RX,"172 "
18:17:13.6510,RX,"170 "
18:17:13.7270,RX,"168 "
18:17:13.7620,RX,"169"
18:17:13.7630,RX," "
18:17:13.8000,RX,"174 "
18:17:13.8770,RX,"175 "
18:17:13.9500,RX,"171 "
18:17:13.9870,RX,"17"
18:17:13.9880,RX,"2 "
18:17:14.0270,RX,"179 "
18:17:14.1000,RX,"176 "
18:17:14.1380,RX,"175 "
18:17:14.2130,RX,"175 "
18:17:14.2500,RX,"179 "
18:17:14.3270,RX,"183 "
18:17:14.3630,RX,"175 "
18:17:14.4380,RX,"178 "
18:17:14.4770,RX,"171"
18:17:14.5140,RX," "
18:17:14.5500,RX,"179 "
18:17:14.5870,RX,"172 "
18:17:14.6630,RX,"169 "
18:17:14.7000,RX,"1"
18:17:14.7380,RX,"67 "
18:17:14.7770,RX,"170 "
18:17:14.8140,RX,"173 "
18:17:14.8880,RX,"176 "
18:17:14.9270,RX,"167 "
18:17:15.0010,RX,"173 "
