Timestamp,Mode,Data
17:58:41.1480,RX,"207"
17:58:41.1490,RX," "
17:58:41.1500,RX,"207 "
17:58:41.2230,RX,"202 "
17:58:41.2610,RX,"211 "
17:58:41.3410,RX,"20"
17:58:41.3420,RX,"8 "
17:58:41.3730,RX,"210 "
17:58:41.4490,RX,"214 "
17:58:41.4910,RX,"224 "
17:58:41.5610,RX,"226 "
17:58:41.6010,RX,"218 "
17:58:41.6730,RX,"217 "
17:58:41.7110,RX,"210 "
17:58:41.7920,RX,"212 "
17:58:41.8240,RX,"210"
17:58:41.8610,RX," "
17:58:41.8980,RX,"217 "
17:58:41.9410,RX,"211 "
17:58:42.0110,RX,"323 "
17:58:42.0480,RX,"3"
17:58:42.0490,RX,"02 "
17:58:42.1230,RX,"308 "
17:58:42.1610,RX,"280 "
17:58:42.2730,RX,"285 "
17:58:42.2740,RX,"277 "
17:58:42.3110,RX,"240 "
17:58:42.3910,RX,"228 "
17:58:42.4610,RX,"229 "
17:58:42.4980,RX,"223 "
17:58:42.5410,RX,"214"
17:58:42.5740,RX," "
17:58:42.6110,RX,"221 "
17:58:42.6920,RX,"208 "
17:58:42.7230,RX,"201 "
17:58:42.7610,RX,"2"
17:58:42.7980,RX,"06 "
17:58:42.8410,RX,"206 "
17:58:42.8740,RX,"216 "
17:58:42.9490,RX,"208 "
17:58:43.0240,RX,"218 "
17:58:43.0610,RX,"213 "
17:58:43.0990,RX,"209 "
17:58:43.1730,RX,"208 "
17:58:43.2490,RX,"206 "
17:58:43.2910,RX,"20"
17:58:43.2920,RX,"7 "
17:58:43.3230,RX,"206 "
17:58:43.3990,RX,"216 "
17:58:43.4740,RX,"209 "
17:58:43.5100,RX,"2"
17:58:43.5110,RX,"07 "
17:58:43.5480,RX,"220 "
17:58:43.6240,RX,"211 "
17:58:43.6610,RX,"205 "
17:58:43.7410,RX,"210 "
17:58:43.7740,RX,"214"
17:58:43.8110,RX," "
17:58:43.8490,RX,"214 "
17:58:43.9230,RX,"205 "
17:58:43.9610,RX,"210 "
17:58:44.0000,RX,"20"
17:58:44.0410,RX,"8 "
17:58:44.0730,RX,"205 "
17:58:44.1110,RX,"207 "
17:58:44.1910,RX,"213 "
17:58:44.2240,RX,"213 "
17:58:44.2990,RX,"210 "
17:58:44.3410,RX,"208 "
17:58:44.4110,RX,"209 "
17:58:44.4490,RX,"214 "
17:58:44.4910,RX,"211"
17:58:44.5230,RX," "
17:58:44.5610,RX,"218 "
17:58:44.6410,RX,"206 "
17:58:44.6740,RX,"215 "
17:58:44.7110,RX,"21"
17:58:44.7490,RX,"0 "
17:58:44.7920,RX,"212 "
17:58:44.8620,RX,"213 "
17:58:44.8990,RX,"218 "
17:58:44.9740,RX,"223 "
17:58:45.0110,RX,"223 "
17:58:45.0490,RX,"217 "
17:58:45.1240,RX,"207 "
17:58:45.1990,RX,"211 "
17:58:45.2410,RX,"205"
17:58:45.2420,RX," "
17:58:45.2730,RX,"220 "
17:58:45.3480,RX,"214 "
17:58:45.4250,RX,"214 "
17:58:45.4610,RX,"2"
17:58:45.4620,RX,"07 "
17:58:45.4990,RX,"208 "
17:58:45.5740,RX,"208 "
17:58:45.6500,RX,"199 "
17:58:45.6920,RX,"197 "
17:58:45.7230,RX,"200 "
17:58:45.8000,RX,"208 "
17:58:45.8420,RX,"197 "
17:58:45.9120,RX,"191 "
17:58:45.9490,RX,"201"
17:58:45.9920,RX," "
17:58:46.0230,RX,"193 "
17:58:46.0990,RX,"207 "
17:58:46.1410,RX,"203 "
17:58:46.1740,RX,"2"
17:58:46.2110,RX,"09 "
17:58:46.2490,RX,"201 "
17:58:46.2920,RX,"199 "
17:58:46.3610,RX,"194 "
17:58:46.3980,RX,"189 "
17:58:46.4740,RX,"195 "
17:58:46.5110,RX,"202 "
17:58:46.5920,RX,"203 "
17:58:46.6230,RX,"202 "
17:58:46.6980,RX,"19"
17:58:46.6990,RX,"2 "
17:58:46.7420,RX,"194 "
17:58:46.8110,RX,"202 "
17:58:46.8490,RX,"201 "
17:58:46.8920,RX,"2"
17:58:46.9230,RX,"03 "
17:58:46.9610,RX,"190 "
17:58:47.0420,RX,"195 "
17:58:47.0730,RX,"205 "
17:58:47.1490,RX,"200 "
17:58:47.1920,RX,"252"
17:58:47.1920,RX," "
17:58:47.2990,RX,"272 "
17:58:47.2990,RX,"239 "
17:58:47.3740,RX,"241 "
17:58:47.4110,RX,"24"
17:58:47.4120,RX,"9 "
17:58:47.4490,RX,"231 "
17:58:47.5260,RX,"221 "
17:58:47.5990,RX,"215 "
17:58:47.6420,RX,"198 "
17:58:47.6740,RX,"198 "
17:58:47.7490,RX,"195 "
17:58:47.8260,RX,"198 "
17:58:47.8610,RX,"188 "
17:58:47.8980,RX,"199"
17:58:47.9420,RX," "
17:58:47.9740,RX,"194 "
17:58:48.0110,RX,"200 "
17:58:48.0920,RX,"192 "
17:58:48.1230,RX,"19"
17:58:48.1610,RX,"6 "
17:58:48.1990,RX,"208 "
17:58:48.2420,RX,"204 "
17:58:48.3110,RX,"200 "
17:58:48.3920,RX,"202 "
17:58:48.4230,RX,"194 "
17:58:48.4610,RX,"193 "
17:58:48.5420,RX,"194 "
17:58:48.5740,RX,"186 "
17:58:48.6480,RX,"192"
17:58:48.6490,RX," "
17:58:48.6920,RX,"202 "
17:58:48.7620,RX,"202 "
17:58:48.7990,RX,"199 "
17:58:48.8420,RX,"1"
17:58:48.8740,RX,"88 "
17:58:48.9110,RX,"194 "
17:58:48.9920,RX,"188 "
17:58:49.0230,RX,"199 "
17:58:49.0990,RX,"198 "
17:58:49.1420,RX,"198 "
17:58:49.2110,RX,"197 "
17:58:49.2490,RX,"205 "
17:58:49.3240,RX,"220 "
17:58:49.3610,RX,"214"
17:58:49.3620,RX," "
17:58:49.3990,RX,"212 "
17:58:49.4740,RX,"207 "
17:58:49.5490,RX,"203 "
17:58:49.5920,RX,"2"
17:58:49.5920,RX,"07 "
17:58:49.6230,RX,"208 "
17:58:49.6990,RX,"201 "
17:58:49.7740,RX,"202 "
17:58:49.8110,RX,"199 "
17:58:49.8490,RX,"200 "
17:58:49.9260,RX,"198 "
17:58:49.9990,RX,"201 "
17:58:50.0420,RX,"198 "
17:58:50.0740,RX,"19"
17:58:50.1120,RX,"8 "
17:58:50.1490,RX,"195 "
17:58:50.1920,RX,"182 "
17:58:50.2620,RX,"187 "
17:58:50.2990,RX,"1"
17:58:50.3420,RX,"97 "
17:58:50.3740,RX,"195 "
17:58:50.4110,RX,"200 "
17:58:50.4920,RX,"206 "
17:58:50.5620,RX,"334 "
17:58:50.5980,RX,"329"
17:58:50.5990,RX," "
17:58:50.6410,RX,"317 "
17:58:50.7110,RX,"286 "
17:58:50.7490,RX,"343 "
17:58:50.8280,RX,"30"
17:58:50.8280,RX,"6 "
17:58:50.8610,RX,"246 "
17:58:50.9740,RX,"233 "
17:58:50.9740,RX,"233 "
17:58:51.0490,RX,"215 "
17:58:51.0920,RX,"204 "
17:58:51.1620,RX,"200 "
17:58:51.1990,RX,"199 "
17:58:51.2740,RX,"197 "
17:58:51.3110,RX,"191"
17:58:51.3490,RX," "
17:58:51.3920,RX,"193 "
17:58:51.4230,RX,"189 "
17:58:51.4990,RX,"204 "
17:58:51.5420,RX,"19"
17:58:51.5420,RX,"8 "
17:58:51.6120,RX,"199 "
17:58:51.6490,RX,"205 "
17:58:51.7250,RX,"202 "
17:58:51.7610,RX,"200 "
17:58:51.7980,RX,"199 "
17:58:51.8740,RX,"195 "
17:58:51.9490,RX,"193 "
17:58:51.9920,RX,"194 "
17:58:52.0230,RX,"200"
17:58:52.0610,RX," "
17:58:52.0980,RX,"198 "
17:58:52.1740,RX,"200 "
17:58:52.2110,RX,"207 "
17:58:52.2490,RX,"2"
17:58:52.2920,RX,"12 "
17:58:52.3240,RX,"204 "
17:58:52.3620,RX,"206 "
17:58:52.4420,RX,"213 "
17:58:52.5140,RX,"208 "
17:58:52.5490,RX,"202 "
17:58:52.5920,RX,"210 "
17:58:52.6610,RX,"199 "
17:58:52.7420,RX,"197 "
17:58:52.7730,RX,"19"
17:58:52.7740,RX,"4 "
17:58:52.8120,RX,"197 "
17:58:52.8920,RX,"207 "
17:58:52.9230,RX,"215 "
17:58:52.9980,RX,"2"
17:58:52.9990,RX,"13 "
17:58:53.0420,RX,"201 "
17:58:53.1110,RX,"205 "
17:58:53.1490,RX,"195 "
17:58:53.2240,RX,"199 "
17:58:53.2610,RX,"197 "
17:58:53.3420,RX,"262 "
17:58:53.3740,RX,"286 "
17:58:53.4500,RX,"261 "
17:58:53.4920,RX,"26"
17:58:53.5230,RX,"3 "
17:58:53.5610,RX,"255 "
17:58:53.5990,RX,"279 "
17:58:53.6750,RX,"250 "
17:58:53.7110,RX,"2"
17:58:53.7120,RX,"30 "
17:58:53.7930,RX,"223 "
17:58:53.8240,RX,"206 "
17:58:53.8990,RX,"218 "
17:58:53.9420,RX,"205 "
17:58:53.9740,RX,"217"
17:58:54.0110,RX," "
17:58:54.0490,RX,"212 "
17:58:54.1240,RX,"200 "
17:58:54.1610,RX,"204 "
17:58:54.1990,RX,"19"
17:58:54.2420,RX,"6 "
17:58:54.2740,RX,"194 "
17:58:54.3490,RX,"196 "
17:58:54.3920,RX,"197 "
17:58:54.4610,RX,"203 "
17:58:54.4990,RX,"198 "
17:58:54.5420,RX,"201 "
17:58:54.6120,RX,"207 "
17:58:54.6920,RX,"213 "
17:58:54.7440,RX,"208"
17:58:54.7440,RX," "
17:58:54.7610,RX,"208 "
17:58:54.8410,RX,"207 "
17:58:54.9120,RX,"208 "
17:58:54.9480,RX,"20"
17:58:54.9490,RX,"4 "
17:58:54.9910,RX,"205 "
17:58:55.0610,RX,"205 "
17:58:55.1410,RX,"206 "
17:58:55.1740,RX,"210 "
17:58:55.2110,RX,"202 "
17:58:55.2910,RX,"208 "
17:58:55.3240,RX,"211 "
17:58:55.3990,RX,"209 "
17:58:55.4410,RX,"200"
17:58:55.4740,RX," "
17:58:55.5120,RX,"210 "
17:58:55.5490,RX,"208 "
17:58:55.6240,RX,"218 "
17:58:55.6610,RX,"2"
17:58:55.6990,RX,"05 "
17:58:55.7410,RX,"205 "
17:58:55.7740,RX,"213 "
17:58:55.8490,RX,"203 "
17:58:55.8910,RX,"191 "
17:58:55.9610,RX,"201"
17:58:55.9620,RX," "
17:58:55.9990,RX,"202 "
17:58:56.0740,RX,"201 "
17:58:56.1120,RX,"207 "
17:58:56.1490,RX,"281"
